year,Trial Court Revenues,Adjustments to Reconcile to Controller,Telecommunications Tax,Trailer Coach License (In-Lieu) Fees,Horse Racing (Pari-mutual License Fees),Emergency Telephone Users Surcharge,Settlements & Judgments,Income from Surplus Money Investments,"Estate, Inheritance & Gift Tax",Income from Pooled Money Investments,State Lands Royalties,California State University Fees,Alcoholic Beverages Taxes & Fees,Abandoned Property,Motor Vehicle Fuel Tax (Diesel),Retail Sales and Use Tax (Fiscal Recovery),Cigarette Tax,Insurance Gross Premium Tax,Motor Vehicle License (In-Lieu) Fees,Motor Vehicle Registration,Motor Vehicle Fuel Tax (Gasoline),Retail Sales and Use Tax (Realignment),Corporation Tax,All Other Minor Revenue,Retail Sales and Use Tax,Personal Income Tax
2000,444,802,0,26337,44541,121668,392691,351439,934708,821549,136819,664300,288451,133785,462425,0,1150856,1496556,3289168,1943249,2679717,2287600,6899302,3970675,22010692,44614297
2001,0,1242,14264,17760,44622,125381,477781,212380,915627,356111,42829,735050,292627,287848,467879,0,1102807,1596002,1927368,1891776,2828024,2228978,5333036,7441507,21587428,33046665
2002,0,0,0,17980,42028,139267,476074,144161,647372,189978,83470,818980,290564,257533,474378,0,1055505,1879784,1885148,1986474,2728133,2279419,6803559,17926501,22619606,32709761
2003,0,0,0,21066,42143,139510,4773,79427,397848,123423,121663,1012233,312826,669319,500807,0,1081588,2114980,2051623,2342437,2824076,2442620,7019216,12573410,24064291,36398983
2004,0,6544,0,23974,38491,128463,5564,130911,213036,232165,188119,1098122,314252,657759,531609,1163025,1096224,2232955,2133709,2716022,2834532,2625007,8670065,8265243,26179104,42992007
2005,0,0,0,27280,38018,130911,89614,276958,3786,447626,299573,1230748,318276,334206,550428,1419684,1088703,2202327,2239348,2811901,2842953,2846114,10316467,9670667,27935284,51219823
2006,0,0,0,29370,37527,112154,43075,498239,6348,534743,255092,0,333789,205180,580896,1411392,1078536,2178336,2268019,2849952,2851631,2862308,11157898,9168915,28395475,53348766
2007,0,0,0,29755,34949,103748,22369,453935,6303,441320,416314,0,327260,322594,587877,1397000,1037287,2172936,2243239,2939817,2830536,2805238,11849097,13029574,27770636,55745970
2008,0,0,0,31041,30737,108000,95917,214617,245,111080,328263,0,323934,272286,513739,1254316,1000456,2053850,2298128,3237473,2666373,2445950,9535679,10160952,25272036,44355959
2009,0,0,0,41220,15541,90000,30587,63022,0,39073,292862,0,311242,336932,496174,1172329,922986,2180786,3306447,3379300,2667520,2355670,9114589,9936023,27669155,45650901
2010,0,0,0,32503,13548,86500,9209,49570,0,33963,377404,0,334178,253564,473928,1216641,905245,2307022,3166259,3359359,5231599,2469129,9613594,14724263,27310602,50507989
2011,0,0,0,23096,15838,83320,26436,34797,0,25345,478525,0,346000,401257,362994,1312362,895677,2416073,2048751,3836019,5181536,7983073,7233000,11079184,19246803,55449292
2012,0,0,0,21500,14088,79150,27217,22838,0,26184,381701,0,357000,486530,320576,1443386,868703,2242379,1952822,3890492,5172274,8441798,7783000,15676061,21122106,66168000
2013,0,0,0,19189,13899,85223,77566,17969,0,16165,445172,0,354297,364000,339175,1506867,833126,2632738,2146129,3566844,5724181,8927622,9092696,14513838.48,23729375,68306264
2014,0,0,0,20387,14009,97664,54295,26834,0,20898,244451,0,357373,431756,365634,1584475,832379,2444573,2286047,3672430,5345526,9386346,9416779,17543250,25756551,77999964
2015,0,0,0,22742,14537,81605,71249,63287,0,41100,73904,0,368699,405946,441002,964645,840034,2561932,2480547,3793190,4559537,9636328,10459561,17702190,26967969,80541269
2016,0,0,0,23197,15349,91505,47354,63971,0,67547,81655,0,374608,363978,552317,0,1184961,2482915,2630957,3951401,4353043,9769284,10210422,23001110,25187502,85023954
2017,0,0,0,23660,15349,91505,30646,61799,0,106366,33737,0,376735,381021,966498,0,2090908,2537706,2760039,4260117,5897865,10146218,10894418,21921792,25155161,90708799
